id,username,name,password,gender,age,income,pet,martialStatus,relationshipType,sexualOrientation,interestRank,areaOfInterest,locationX,locationY
0,heyy,heyy,heyy,male,124124,124124,yes,single,friend,male,income/age/marital status/interests/pet/relationship type,sport,1.0,1.0
1,author,author,author,male,124124,124124,yes,single,friend,male,income/age/marital status/interests/relationship type/pet,sport,1.0,1.0
2,ben,ben,ben,male,124124,124124,yes,single,friend,male,pet/relationship type/interests/marital status/age/income,sport,1.0,1.0
3,chen,chen,chen,male,124124,124124,yes,single,friend,male,income/age/marital status/interests/relationship type/pet,sport,1.0,1.0
4,daniel,daniel,daniel,male,124124,124124,yes,single,friend,male,pet/relationship type/interests/marital status/income/age,sport,1.0,1.0
5,eric,eric,eric,male,124124,124124,yes,single,friend,male,income/age/marital status/interests/pet/relationship type,sport,1.0,1.0
6,finch,finch,finch,male,124124,124124,yes,single,friend,male,pet/relationship type/interests/marital status/age/income,sport,1.0,1.0
7,gavin,gavin,gavin,male,124124,124124,yes,single,friend,male,pet/age/income/marital status/interests/relationship type,sport,1.0,1.0
8,henry,henry,henry,male,124124,124124,yes,single,friend,male,pet/age/income/marital status/interests/relationship type,sport,1.0,1.0
9,ian,ian,ian,male,124124,124124,yes,single,friend,male,pet/age/income/marital status/interests/relationship type,sport,1.0,1.0
10,jack,jack,jack,male,124124,124124,yes,single,friend,male,income/age/marital status/interests/pet/relationship type,sport,1.0,1.0
11,leo,leo,leo,male,124124,124124,yes,single,friend,male,income/age/marital status/pet/interests/relationship type,sport,1.0,1.0
12,ming,ming,ming,male,124124,124124,yes,single,friend,male,income/age/pet/marital status/interests/relationship type,sport,1.0,1.0
13,nick,nick,nick,male,124124,124124,yes,single,friend,male,income/age/pet/marital status/interests/relationship type,sport,1.0,1.0
14,oliver,oliver,oliver,male,124124,124124,yes,single,friend,male,income/age/marital status/interests/relationship type/pet,sport,1.0,1.0
15,paige,paige,paige,female,124124,124124,yes,single,friend,male,income/age/marital status/interests/relationship type/pet,sport,1.0,1.0
16,queen,queen,queen,female,124124,124124,yes,single,friend,male,income/age/marital status/interests/relationship type/pet,sport,1.0,1.0
17,rihana,rihana,rihana,female,124124,124124,yes,single,friend,male,income/age/marital status/interests/relationship type/pet,sport,1.0,1.0
18,stella,stella,stella,female,124124,124124,yes,single,friend,male,income/age/marital status/pet/interests/relationship type,sport,1.0,1.0
19,tiffany,tiffany,tiffany,female,124124,124124,yes,single,friend,male,income/age/marital status/interests/pet/relationship type,sport,1.0,1.0
20,una,una,una,female,124124,124124,yes,single,friend,male,pet/relationship type/interests/marital status/age/income,sport,1.0,1.0
21,vivian,vivian,vivian,female,124124,124124,yes,single,friend,male,income/age/marital status/interests/pet/relationship type,sport,1.0,1.0
22,willa,willa,willa,female,124124,124124,yes,single,friend,male,income/age/marital status/interests/pet/relationship type,sport,1.0,1.0
23,xiomara,xiomara,xiomara,female,124124,124124,yes,single,friend,male,income/age/marital status/pet/interests/relationship type,sport,1.0,1.0
24,yara,yara,yara,female,124124,124124,yes,single,friend,male,pet/relationship type/interests/marital status/age/income,sport,1.0,1.0
25,zur,zur,zur,female,124124,124124,yes,single,friend,male,pet/relationship type/interests/marital status/age/income,sport,1.0,1.0
26,kate,kate,kate,female,124124,124124,yes,single,friend,male,income/age/marital status/pet/interests/relationship type,sport,1.0,1.0
27,yoyo,yoyo,yoyo,female,124124,124124,yes,single,friend,male,pet/age/income/marital status/interests/relationship type,sport,1.0,1.0
8,jessie,jessie,jessie,female,124124,124124,yes,single,friend,male,pet/age/income/marital status/interests/relationship type,sport,1.0,1.0
8,jenny,jenny,jenny,female,124124,124124,yes,single,friend,male,pet/age/income/marital status/interests/relationship type,sport,1.0,1.0
