id,username,name,password,gender,age,income,pet,maritalStatus,relationshipType,sexualOrientation,interestRank,areaOfInterest,locationX,locationY
0,sunny,sunny,sunny,male,124124,124124,yes,single,friend,male,income/age/marital status/interests/relationship type/pet,sport,-79.39653244306562,43.66082236600782
1,author,author,author,male,18,17,yes,single,friend,male,income/age/marital status/interests/relationship type/pet,movie,90.3241243,43.12
2,ben,ben,ben,male,21,30,no,married,one-night,male,pet/relationship type/interests/marital status/age/income,read,89.32407214,43.09140474
3,chen,chen,chen,male,23,80,yes,single,long-term,male,income/age/marital status/interests/relationship type/pet,cook,89.213894021,42.77237283
4,daniel,daniel,daniel,male,46,22,yes,divorce,friend,male,pet/relationship type/interests/marital status/income/age,art,57.23414938265,45.7975494
5,eric,eric,eric,male,13,17,yes,single,friend,male,income/age/marital status/interests/pet/relationship type,sport,43.321549231,11.37324248
6,finch,finch,finch,male,67,26,yes,divorce,short-term,male,pet/relationship type/interests/marital status/age/income,game,39.239491204,43.09648939
7,gavin,gavin,gavin,male,22,100,no,single,one-night,male,pet/age/income/marital status/interests/relationship type,sport,34.3201431486372,-12.16604307
8,henry,henry,henry,male,19,123,yes,single,friend,male,pet/age/income/marital status/interests/relationship type,music,32.302143244,-13.37395789
9,ian,ian,ian,male,20,70,yes,single,long-term,male,pet/age/income/marital status/interests/relationship type,read,25.1234623894,43.56365805
10,jack,jack,jack,male,24,30,no,single,long-term,male,income/age/marital status/pet/interests/relationship type,movie,18.092347921,35.39023425
11,leo,leo,leo,male,29,5,yes,married,friend,male,income/age/marital status/pet/interests/relationship type,music,12.3243255,43.29204325
12,ming,ming,ming,male,31,17,no,divorce,friend,female,income/age/pet/marital status/interests/relationship type,cook,12.1292543580323,46.44368393
13,nick,nick,nick,male,19,23,yes,single,long-term,male,income/age/pet/marital status/interests/relationship type,sport,-32.321486921,43.09140474
14,oliver,oliver,oliver,male,22,124,yes,single,one-night,male,income/age/marital status/interests/relationship type/pet,sport,-33.4802543788543,43.09140474
15,paige,paige,paige,female,20,40,yes,single,friend,male,income/age/marital status/interests/relationship type/pet,cook,-36.4636784290432,43.09140474
16,queen,queen,queen,female,32,50,no,single,short-term,male,income/age/marital status/interests/relationship type/pet,movie,-46.647204753,43.65739534
17,rihana,rihana,rihana,female,37,9,yes,divorce,friend,male,income/age/marital status/interests/relationship type/pet,art,-56.1364392704,43.65739534
18,stella,stella,stella,female,17,11,yes,single,friend,female,income/age/marital status/pet/interests/relationship type,read,-73.12423423,14.32610493
19,tiffany,tiffany,tiffany,female,38,14,no,single,one-night,male,income/age/marital status/interests/pet/relationship type,sport,-73.324548792314,43.21403294
20,una,una,una,female,52,33,yes,single,friend,male,pet/relationship type/interests/marital status/age/income,sport,-79.01648923024,32.2342134
21,vivian,vivian,vivian,female,22,17,yes,single,short-term,male,income/age/marital status/interests/pet/relationship type,cook,-79.035435489328,23.32432146
22,willa,willa,willa,female,19,15,yes,single,long-term,male,income/age/marital status/interests/pet/relationship type,movie,-79.07566369402424,64.2314328
23,xiomara,xiomara,xiomara,female,26,21,no,single,friend,male,income/age/marital status/pet/interests/relationship type,sport,-79.07566369402424,43.24304324
24,yara,yara,yara,female,25,23,yes,single,friend,male,pet/relationship type/interests/marital status/age/income,game,-79.07566369402424,56.32320152
25,zur,zur,zur,female,34,50,yes,single,one-night,male,pet/relationship type/interests/marital status/age/income,music,-79.07566369402424,1.20478324
26,kate,kate,kate,female,35,10,no,divorce,friend,female,income/age/marital status/pet/interests/relationship type,read,-79.37989996261294,8.2134902
27,yoyo,yoyo,yoyo,female,23,30,no,single,long-term,male,pet/age/income/marital status/interests/relationship type,music,-79.37989996261294,78.31289463
28,jessie,jessie,jessie,female,18,9,no,single,one-night,male,pet/age/income/marital status/interests/relationship type,art,-79.39688861560464,80.21340932
29,jenny,jenny,jenny,female,22,23,no,married,long-term,female,pet/age/income/marital status/interests/relationship type,music,-79.456372833,89.32421435
30,heyy,heyy,heyy,male,14,20,yes,single,friend,male,income/age/marital status/interests/pet/relationship type,sport,-81.327402142,17.32415436
31,hicks,hicks,hicks,female,14,20,yes,single,friend,male,income/age/marital status/interests/pet/relationship type,sport,-74.23490244,45.32412532
